,loss,residual_loss,bound_loss
0,31.692305,9.826292,21.866013
1,31.567614,9.81048,21.757133
2,31.443195,9.794562,21.648632
3,31.319117,9.778608,21.540508
4,31.195585,9.762812,21.432774
5,31.072653,9.747221,21.325432
6,30.949966,9.731476,21.21849
7,30.827814,9.715861,21.111954
8,30.705902,9.700077,21.005825
9,30.584593,9.684479,20.900114
10,30.463331,9.668508,20.794823
11,30.342937,9.652986,20.689953
12,30.22294,9.637425,20.585516
13,30.103548,9.622036,20.481512
14,29.984364,9.606421,20.377941
15,29.86575,9.590936,20.274815
16,29.747671,9.575538,20.172132
17,29.63014,9.560241,20.069899
18,29.513048,9.544931,19.968117
19,29.396475,9.529685,19.866789
20,29.280458,9.51454,19.765919
21,29.164738,9.499229,19.665508
22,29.049583,9.48402,19.565563
23,28.934988,9.468909,19.46608
24,28.820745,9.453678,19.367067
25,28.707308,9.43879,19.268518
26,28.594309,9.423868,19.17044
27,28.48168,9.408847,19.072834
28,28.369682,9.393983,18.9757
29,28.258135,9.379099,18.879036
30,28.147123,9.364276,18.782846
31,28.036863,9.349732,18.687132
32,27.926851,9.334962,18.59189
33,27.817518,9.320398,18.49712
34,27.708466,9.305641,18.402824
35,27.600199,9.291193,18.309006
36,27.492403,9.276745,18.215658
37,27.385166,9.2623825,18.122784
38,27.278524,9.248138,18.030386
39,27.172312,9.233856,17.938456
40,27.066477,9.219477,17.847
41,26.96123,9.205213,17.756018
42,26.856636,9.191135,17.6655
43,26.752548,9.177094,17.575455
44,26.648949,9.16307,17.485878
45,26.545822,9.149051,17.396772
46,26.443182,9.135047,17.308134
47,26.341105,9.121145,17.21996
48,26.23964,9.10739,17.132248
49,26.138544,9.093541,17.045002
50,26.038134,9.079915,16.95822
51,25.938221,9.066324,16.871897
52,25.838833,9.052797,16.786036
53,25.73987,9.039237,16.700634
54,25.64137,9.025682,16.615688
55,25.543413,9.012212,16.5312
56,25.446028,8.998861,16.447166
57,25.349089,8.9855,16.363588
58,25.252695,8.972233,16.280462
59,25.156778,8.958992,16.197786
60,25.061527,8.945964,16.115564
61,24.96643,8.932644,16.033787
62,24.872059,8.919598,15.952461
63,24.778124,8.906547,15.871578
64,24.684801,8.893658,15.791143
65,24.591959,8.880807,15.711152
66,24.499626,8.868019,15.631606
67,24.40798,8.855482,15.552499
68,24.316217,8.842383,15.473833
69,24.225397,8.829787,15.395609
70,24.134949,8.817127,15.3178215
71,24.044937,8.804464,15.240473
72,23.955578,8.792018,15.163561
73,23.866526,8.779443,15.087083
74,23.778027,8.766985,15.011043
75,23.689974,8.754542,14.935432
76,23.602345,8.742086,14.860259
77,23.515257,8.729741,14.785515
78,23.428848,8.717647,14.711203
79,23.342709,8.705387,14.6373205
80,23.257269,8.693399,14.563869
81,23.172102,8.681255,14.490846
82,23.087654,8.669403,14.418251
83,23.00329,8.657207,14.346083
84,22.919584,8.645245,14.274341
85,22.8363,8.633274,14.203026
86,22.753576,8.621441,14.132136
87,22.671255,8.609585,14.061671
88,22.589308,8.597674,13.991632
89,22.508213,8.5862,13.922014
90,22.427359,8.574536,13.852821
91,22.34701,8.562957,13.784052
92,22.26716,8.551456,13.715704
93,22.187796,8.540018,13.647778
94,22.108582,8.528309,13.580273
95,22.03015,8.516961,13.513188
96,21.952028,8.505503,13.446526
97,21.874496,8.494213,13.380283
98,21.797464,8.483001,13.314463
99,21.720556,8.471498,13.249059
100,21.644295,8.460218,13.184076
101,21.568586,8.449077,13.119511
102,21.493431,8.438065,13.0553665
103,21.418787,8.427147,12.991641
104,21.344297,8.415964,12.928332
105,21.27065,8.405208,12.865442
106,21.19717,8.3942,12.80297
107,21.12421,8.383296,12.740914
108,21.051651,8.372374,12.679277
109,20.979658,8.3616,12.618058
110,20.908066,8.350813,12.557254
111,20.83707,8.340206,12.496864
112,20.766586,8.329692,12.436894
113,20.696455,8.319118,12.377337
114,20.626587,8.30839,12.318197
115,20.557331,8.297857,12.259473
116,20.488365,8.287201,12.201163
117,20.420263,8.276997,12.143267
118,20.352474,8.266687,12.085786
119,20.284891,8.256171,12.02872
120,20.217882,8.245818,11.972064
121,20.151464,8.2356415,11.915823
122,20.085392,8.225398,11.859994
123,20.019867,8.21529,11.804577
124,19.954798,8.20523,11.749569
125,19.89011,8.195136,11.694974
126,19.825914,8.185126,11.640789
127,19.762062,8.175051,11.587011
128,19.698797,8.165151,11.533647
129,19.6359,8.155211,11.480688
130,19.573515,8.14538,11.428136
131,19.511591,8.135601,11.37599
132,19.450176,8.125924,11.324252
133,19.389175,8.116258,11.272918
134,19.328588,8.106601,11.221988
135,19.268417,8.096959,11.171459
136,19.208517,8.087185,11.121333
137,19.149382,8.077773,11.071609
138,19.09058,8.0682955,11.022284
139,19.032187,8.058828,10.973358
140,18.974283,8.049453,10.9248295
141,18.916775,8.040076,10.876698
142,18.859652,8.030691,10.828961
143,18.803003,8.021384,10.781619
144,18.74686,8.012194,10.734668
145,18.690983,8.002876,10.6881075
146,18.635483,7.993545,10.641938
147,18.580797,7.9846416,10.596156
148,18.526388,7.975625,10.550762
149,18.472433,7.9666805,10.505752
150,18.418905,7.9577804,10.461125
151,18.365854,7.9489727,10.416882
152,18.313011,7.939995,10.373015
153,18.260742,7.931213,10.329529
154,18.20889,7.92247,10.286421
155,18.157244,7.913558,10.243686
156,18.106247,7.904923,10.2013235
157,18.05557,7.896238,10.159333
158,18.005384,7.887674,10.117711
159,17.955442,7.878985,10.076457
160,17.90587,7.8703027,10.035568
