,loss,residual_loss,bound_loss
0,37.496155,12.529857,24.966297
1,34.498436,11.942273,22.556164
2,31.779621,11.432959,20.346663
3,29.34271,11.000676,18.342033
4,27.18578,10.637098,16.54868
5,25.300657,10.332234,14.968423
6,23.674953,10.076972,13.597982
7,22.290684,9.861357,12.429327
8,21.126852,9.677387,11.449465
9,20.158062,9.5175085,10.6405525
10,19.356478,9.374837,9.98164
11,18.692343,9.243242,9.4491005
12,18.137108,9.117952,9.019154
13,17.663265,8.994551,8.668715
14,17.247566,8.87006,8.377506
15,16.871437,8.7424755,8.128961
16,16.520622,8.610006,7.910615
17,16.186548,8.472461,7.7140884
18,15.864714,8.330363,7.5343504
19,15.553508,8.184492,7.3690147
20,15.254005,8.036899,7.217107
21,14.9670315,7.888796,7.0782366
22,14.693886,7.7422066,6.951679
23,14.433865,7.5977955,6.8360696
24,14.185404,7.4563103,6.7290936
25,13.945184,7.317111,6.6280727
26,13.710164,7.179782,6.530382
27,13.478209,7.044303,6.4339056
28,13.246859,6.9091763,6.3376827
29,13.015785,6.7739134,6.2418714
30,12.785472,6.6377115,6.1477604
31,12.557409,6.5002894,6.0571194
32,12.3325,6.3606873,5.9718137
33,12.110657,6.2172832,5.8933735
34,11.891819,6.0691814,5.8226376
35,11.676468,5.916726,5.7597423
36,11.463281,5.7589602,5.704321
37,11.252687,5.596869,5.6558185
38,11.045404,5.432041,5.6133623
39,10.841136,5.2652016,5.5759344
40,10.640364,5.097847,5.5425167
41,10.443662,4.9316673,5.5119944
42,10.251301,4.76802,5.4832807
43,10.063389,4.6076355,5.4557543
44,9.88043,4.4513364,5.429094
45,9.7030945,4.299677,5.4034176
46,9.531496,4.152381,5.3791156
47,9.366034,4.0093713,5.3566623
48,9.207556,3.8712592,5.336297
49,9.055555,3.7374883,5.3180676
50,8.911366,3.6094697,5.301897
51,8.774706,3.4873822,5.2873235
52,8.645287,3.3712556,5.2740307
53,8.523379,3.261805,5.2615747
54,8.4087925,3.1589959,5.2497964
55,8.30138,3.0628362,5.2385435
56,8.200873,2.9731367,5.2277365
57,8.106748,2.8892322,5.217515
58,8.018375,2.8106909,5.2076845
59,7.9354553,2.7374363,5.198019
60,7.8573146,2.6689076,5.188407
61,7.7836094,2.6050649,5.178544
62,7.7137523,2.5454054,5.1683464
