,loss,residual_loss,bound_loss
0,49.734745,33.362816,16.371933
1,48.901722,33.302055,15.59967
2,48.07368,33.23838,14.8352995
3,47.247902,33.173046,14.074852
4,46.425255,33.106926,13.318332
5,45.608643,33.04115,12.567492
6,44.803387,32.97718,11.826212
7,44.01676,32.916546,11.100218
8,43.256847,32.860558,10.396292
9,42.531258,32.809986,9.72127
10,41.846092,32.76502,9.081074
11,41.20536,32.725304,8.480055
12,40.610836,32.690163,7.920678
13,40.06243,32.65881,7.4036226
14,39.558666,32.630527,6.928141
15,39.09728,32.60476,6.4925222
16,38.67561,32.581097,6.0945168
17,38.290886,32.559242,5.7316475
18,37.94033,32.538944,5.401389
19,37.621223,32.51995,5.101274
20,37.330917,32.50199,4.828929
21,37.066856,32.48476,4.5820966
22,36.826588,32.46795,4.3586397
23,36.607777,32.451233,4.1565447
24,36.40822,32.434303,3.973917
25,36.225864,32.416878,3.8089898
26,36.05882,32.3987,3.6601176
27,35.90534,32.37956,3.525781
28,35.763847,32.359272,3.4045765
29,35.63291,32.337692,3.2952201
30,35.51124,32.314705,3.196537
31,35.397682,32.29023,3.1074555
32,35.291206,32.264202,3.0270035
33,35.190884,32.236584,2.9542985
34,35.095894,32.20736,2.8885396
35,35.005516,32.176514,2.8290036
36,34.9191,32.144066,2.775036
37,34.836075,32.110035,2.7260454
38,34.755955,32.074455,2.6814964
39,34.678288,32.03738,2.640906
40,34.602703,31.998867,2.603837
41,34.528893,31.958994,2.5698943
42,34.45657,31.91785,2.5387206
43,34.38551,31.875523,2.5099945
44,34.315544,31.832119,2.4834237
45,34.24651,31.78776,2.458747
46,34.17829,31.742565,2.43573
47,34.110817,31.696655,2.4141624
48,34.044014,31.650152,2.3938584
49,33.97783,31.603176,2.3746533
50,33.912243,31.555841,2.3564045
51,33.847233,31.50825,2.3389878
52,33.782776,31.46048,2.3222988
53,33.71887,31.412622,2.306248
54,33.6555,31.364737,2.2907624
55,33.59265,31.316874,2.275782
56,33.530323,31.269062,2.2612596
57,33.468494,31.221333,2.2471576
58,33.407154,31.173702,2.233447
59,33.34629,31.126184,2.220106
60,33.28589,31.078772,2.207118
61,33.22594,31.031464,2.1944711
62,33.166428,30.984264,2.182157
63,33.107346,30.937176,2.1701694
64,33.048683,30.890179,2.1585033
65,32.99044,30.843288,2.1471562
66,32.93262,30.796494,2.1361241
67,32.87521,30.749805,2.125405
68,32.818222,30.703222,2.1149983
69,32.76166,30.65676,2.104902
70,32.70553,30.610416,2.0951142
71,32.64984,30.564209,2.0856342
72,32.59461,30.518147,2.0764608
73,32.539833,30.47224,2.067593
74,32.485527,30.426502,2.0590298
