,loss,residual_loss,bound_loss
0,45.50363,17.804428,27.6992
1,43.271873,17.76096,25.51092
2,41.183556,17.721285,23.462276
3,39.236763,17.684437,21.552326
4,37.434353,17.649813,19.784542
5,35.776646,17.615763,18.160881
6,34.263416,17.582077,16.68134
7,32.888714,17.547764,15.340953
8,31.649775,17.512365,14.137408
9,30.538513,17.475485,13.063028
10,29.548336,17.437122,12.111219
11,28.671055,17.396744,11.274311
12,27.896679,17.354908,10.541771
13,27.217428,17.31105,9.906377
14,26.622122,17.265554,9.356566
15,26.102787,17.21828,8.884507
16,25.649372,17.169449,8.479922
17,25.254482,17.119062,8.135419
18,24.910297,17.067251,7.843048
19,24.608425,17.014032,7.5943923
20,24.344141,16.95962,7.384523
21,24.110935,16.903715,7.207219
22,23.903812,16.846655,7.057157
23,23.718433,16.788551,6.929882
24,23.550636,16.729328,6.821307
25,23.398518,16.669308,6.7292085
26,23.257635,16.608316,6.649321
27,23.127039,16.546516,6.580523
28,23.003925,16.483768,6.520158
29,22.887768,16.420763,6.4670053
30,22.776112,16.356693,6.4194193
31,22.668673,16.292217,6.376455
32,22.564709,16.226995,6.3377123
33,22.463139,16.161251,6.301891
34,22.363724,16.095255,6.2684693
35,22.266016,16.028559,6.2374587
36,22.169697,15.961612,6.208085
37,22.074152,15.894236,6.179914
38,21.979525,15.826472,6.1530523
39,21.885696,15.758313,6.1273837
40,21.792576,15.68957,6.103006
41,21.699814,15.620605,6.0792093
42,21.60738,15.551122,6.0562577
43,21.515291,15.481506,6.0337863
44,21.423183,15.411097,6.0120893
45,21.331293,15.340433,5.9908614
46,21.239466,15.269153,5.970313
47,21.14767,15.197507,5.950165
48,21.055708,15.125244,5.930464
49,20.9637,15.052386,5.91131
50,20.871367,14.978981,5.8923864
51,20.778818,14.904945,5.8738723
52,20.686142,14.830264,5.8558764
53,20.59291,14.754776,5.8381352
54,20.499435,14.678662,5.820775
55,20.405338,14.601831,5.803508
56,20.311054,14.524195,5.7868624
57,20.215994,14.445776,5.770218
58,20.120352,14.366348,5.754003
59,20.024008,14.2860365,5.7379704
60,19.927063,14.204802,5.72226
61,19.829458,14.122762,5.7066984
62,19.73088,14.039625,5.691259
63,19.631516,13.955449,5.676068
64,19.53146,13.870273,5.6611867
65,19.43061,13.78409,5.6465225
66,19.328571,13.696556,5.632016
67,19.225958,13.608142,5.617816
68,19.122164,13.518736,5.603425
69,19.01698,13.427852,5.5891266
70,18.911236,13.335958,5.5752797
71,18.804241,13.242816,5.5614243
72,18.69597,13.148447,5.547525
73,18.586731,13.052854,5.5338764
74,18.476637,12.956139,5.520499
75,18.365015,12.858035,5.5069785
76,18.252354,12.758777,5.4935775
77,18.1383,12.658391,5.479908
78,18.02337,12.556524,5.4668455
79,17.90716,12.453534,5.4536242
80,17.789534,12.349178,5.4403563
81,17.671055,12.243592,5.4274635
82,17.550947,12.13669,5.4142585
83,17.429918,12.028587,5.40133
84,17.307426,11.919093,5.388333
85,17.18372,11.808446,5.375275
86,17.059078,11.696488,5.362591
87,16.93291,11.58338,5.3495317
88,16.805576,11.468747,5.3368287
89,16.676937,11.353051,5.323888
90,16.547087,11.236066,5.3110223
91,16.415983,11.117918,5.2980638
92,16.283901,10.998596,5.2853026
93,16.150454,10.87778,5.272672
94,16.016104,10.756025,5.2600794
95,15.880501,10.6329975,5.2475038
96,15.743795,10.508886,5.234909
97,15.6057415,10.383604,5.2221365
98,15.467016,10.257261,5.209756
99,15.327039,10.129853,5.1971865
100,15.186114,10.001434,5.184679
101,15.044502,9.872253,5.1722465
102,14.901805,9.742136,5.1596704
103,14.758326,9.611053,5.147273
104,14.614245,9.479131,5.1351147
105,14.469603,9.346725,5.122877
106,14.323939,9.213427,5.110514
107,14.178034,9.079878,5.098156
108,14.031569,8.945785,5.085786
109,13.885101,8.811305,5.0737953
110,13.738159,8.676476,5.0616856
111,13.591064,8.541521,5.049542
112,13.444292,8.406688,5.0376043
113,13.297613,8.271856,5.025758
114,13.150853,8.137115,5.013737
115,13.004834,8.002708,5.0021276
116,12.858995,7.868987,4.9900055
117,12.714175,7.7358794,4.9782953
118,12.569925,7.6033983,4.966527
119,12.426655,7.4717417,4.9549127
120,12.284778,7.341562,4.9432154
121,12.144041,7.2121496,4.9318914
122,12.004314,7.0841117,4.9202013
123,11.866419,6.957701,4.908717
124,11.729948,6.8328505,4.8970985
125,11.595437,6.7096915,4.885746
126,11.462869,6.5885377,4.8743305
127,11.331968,6.4691772,4.8627915
128,11.203699,6.352008,4.851691
129,11.07734,6.236985,4.840356
130,10.95299,6.124289,4.8287
131,10.831496,6.014004,4.8174934
132,10.711884,5.905873,4.80601
133,10.594988,5.800423,4.7945647
134,10.480305,5.6973085,4.7829957
135,10.368506,5.5967584,4.7717476
136,10.258711,5.4984517,4.7602606
137,10.151684,5.40289,4.7487936
138,10.046902,5.3096313,4.7372694
139,9.944532,5.2188735,4.725659
140,9.844472,5.1303205,4.7141514
141,9.74671,5.04432,4.7023916
142,9.650931,4.960487,4.6904454
143,9.557631,4.878755,4.6788754
144,9.466266,4.7992864,4.6669793
145,9.376934,4.7220407,4.654893
146,9.289389,4.646468,4.642919
147,9.203963,4.572993,4.630973
148,9.120136,4.501281,4.618856
149,9.0378685,4.431116,4.6067514
150,8.957464,4.36289,4.5945725
151,8.878214,4.296213,4.582
152,8.801046,4.2310877,4.5699596
153,8.725069,4.1673975,4.5576725
154,8.649983,4.105017,4.544966
155,8.576664,4.044132,4.532531
156,8.50424,3.984365,4.5198746
157,8.433088,3.9258552,4.507233
158,8.362982,3.8684497,4.494532
159,8.29411,3.8121052,4.4820037
160,8.226069,3.7568538,4.469216
161,8.158808,3.70251,4.456297
162,8.092786,3.6493638,4.4434214
163,8.027287,3.5968843,4.430402
164,7.9627657,3.545309,4.4174576
165,7.8992205,3.4946983,4.404523
166,7.8363533,3.4449406,4.3914123
167,7.7745566,3.3960414,4.378516
168,7.712826,3.3477082,4.3651185
169,7.652304,3.3001475,4.3521566
170,7.592088,3.2534428,4.338647
171,7.5328865,3.2074246,4.3254614
172,7.4741745,3.1620853,4.312089
173,7.4161034,3.1174178,4.298686
174,7.3585,3.0733998,4.2851005
175,7.30165,3.0300074,4.2716427
176,7.2455187,2.9872313,4.258288
177,7.189705,2.94511,4.2445955
178,7.134786,2.9038303,4.2309546
179,7.080133,2.862953,4.2171807
180,7.02608,2.8227305,4.203349
181,6.9724336,2.7831252,4.189307
182,6.9195533,2.7440093,4.175544
183,6.867181,2.705589,4.161591
184,6.81522,2.667696,4.1475244
185,6.7637796,2.6303515,4.133428
186,6.712972,2.5935664,4.1194053
187,6.6625237,2.5574298,4.1050935
188,6.612484,2.521824,4.0906606
189,6.5631943,2.4866648,4.076529
190,6.514285,2.4522438,4.0620418
191,6.465814,2.4182782,4.047536
192,6.417638,2.3849015,4.0327363
193,6.370038,2.352041,4.017997
194,6.3229284,2.319715,4.0032134
195,6.2761474,2.287733,3.988414
196,6.229861,2.2565536,3.9733074
197,6.1842556,2.2257025,3.9585526
198,6.1388,2.1954174,3.9433823
199,6.0937605,2.1656098,3.928151
200,6.04917,2.1363525,3.9128177
201,6.0049586,2.1076462,3.8973122
202,5.961145,2.0792084,3.8819377
203,5.917919,2.0515206,3.8663986
204,5.874645,2.0241349,3.8505104
205,5.8323674,1.9972254,3.8351426
206,5.790089,1.970871,3.8192189
207,5.748081,1.9448935,3.8031871
208,5.706596,1.9195019,3.7870946
209,5.665212,1.8944466,3.7707658
210,5.624613,1.8697027,3.7549107
211,5.584229,1.8457025,3.738526
212,5.54422,1.8220125,3.7222068
213,5.5042377,1.7986615,3.7055767
214,5.4649515,1.7757992,3.6891518
215,5.425523,1.7533827,3.6721396
216,5.3868294,1.7314014,3.655428
217,5.34832,1.7098366,3.6384826
218,5.3102665,1.6886415,3.6216252
219,5.272342,1.6677643,3.604578
220,5.2349052,1.6474524,3.5874527
221,5.197461,1.6272691,3.5701911
222,5.160695,1.6076845,3.5530105
223,5.1242056,1.5884382,3.5357673
224,5.087774,1.5695477,3.5182266
225,5.051624,1.5510085,3.5006156
226,5.0158863,1.532865,3.4830208
227,4.980694,1.5150908,3.4656029
228,4.9453826,1.4976693,3.4477127
229,4.910457,1.4806036,3.4298546
230,4.8759336,1.4638727,3.4120612
231,4.841582,1.4474684,3.3941135
232,4.807624,1.4313866,3.3762374
233,4.773799,1.4157038,3.3580952
234,4.7405806,1.4002755,3.3403058
235,4.707397,1.3852801,3.3221164
236,4.6746454,1.3705734,3.3040721
237,4.642129,1.3560855,3.2860432
238,4.610014,1.3419964,3.2680175
239,4.5781097,1.3282179,3.2498913
240,4.5464606,1.3148301,3.2316308
241,4.5149555,1.3016214,3.2133338
242,4.4841194,1.288791,3.1953287
243,4.4532585,1.2762355,3.177023
244,4.4229016,1.2639644,3.1589377
245,4.3929663,1.2520083,3.1409583
246,4.3632097,1.2402849,3.1229248
247,4.3338423,1.228831,3.1050117
248,4.304466,1.2177517,3.0867143
249,4.275734,1.2069035,3.0688303
250,4.247513,1.19627,3.0512424
251,4.2193975,1.1859863,3.033411
252,4.1917205,1.1758722,3.0158486
253,4.1643167,1.1660498,2.9982657
254,4.137101,1.1564634,2.9806378
255,4.1102476,1.1471438,2.963103
256,4.0840406,1.1381032,2.9459376
257,4.057936,1.1291907,2.9287457
258,4.032321,1.1206081,2.9117131
259,4.0068383,1.1121588,2.8946793
260,3.9818637,1.1039819,2.8778815
261,3.9572933,1.0960337,2.8612595
262,3.9330277,1.0883148,2.8447127
263,3.9090085,1.0806196,2.8283885
264,3.8855376,1.0732299,2.8123076
265,3.862349,1.0660546,2.7962942
266,3.839314,1.0589879,2.7803266
267,3.8167453,1.0520837,2.7646618
268,3.7946727,1.0453485,2.7493238
269,3.772958,1.038725,2.7342331
270,3.751511,1.0323097,2.7192013
271,3.7301164,1.0260596,2.7040563
272,3.7093391,1.0199344,2.689405
273,3.6890125,1.013812,2.6752007
274,3.6687748,1.007895,2.6608794
275,3.6489315,1.0020775,2.6468542
276,3.6294518,0.99640954,2.6330428
277,3.6101882,0.9908725,2.6193156
278,3.5911782,0.9853298,2.6058488
279,3.5727043,0.97993374,2.5927703
280,3.554393,0.9746497,2.5797436
281,3.5362732,0.9694191,2.5668538
282,3.5186436,0.96417236,2.5544713
283,3.5012755,0.9590584,2.5422168
284,3.483891,0.953965,2.5299258
285,3.467152,0.948977,2.5181751
286,3.4505413,0.94410026,2.5064414
287,3.4342537,0.939192,2.4950614
288,3.4179978,0.9344516,2.4835458
289,3.4021282,0.9296714,2.4724565
290,3.386519,0.9250272,2.461492
291,3.3710868,0.9203135,2.450773
292,3.3560994,0.91555613,2.4405434
